site_code,source_workbook,source_tab,output_csv,data_level,primary_key,join_keys,row_grain,notes
ABRM,ABRM_APS_deID_PUB.xlsx,Stats,ABRM_APS_stats_key-values.csv,stats,,,one row per metric,Tidy key/value extraction from Stats A-D; sectioned by header rows in col B.
ABRM,ABRM_APS_deID_PUB.xlsx,Stats,ABRM_APS_stats_referral-agreement.csv,stats,,,one row per FL result category,Extract mini-table anchored at 'Number of Tubes with FL Result' (cols E-L).
ABRM,ABRM_APS_deID_PUB.xlsx,REF Weekly,ABRM_APS_weekly-summary.csv,weekly_rollup,,week_start_date;week_end_date,one row per week,Weekly screening rollup (imported from RFR when present); stable headers.
ABRM,ABRM_APS_deID_PUB.xlsx,Pos and Incl,ABRM_APS_pos-incl-cases.csv,tube,tube_id,tube_id;case_cluster_id,one row per pos/incl tube,Case-centric pos/incl subset with pool membership + referral linkage.
ABRM,ABRM_APS_deID_PUB.xlsx,postDEL,ABRM_APS_swabs-in-tubes.csv,participant_result,,tube_id;participant_id,one row per swab-in-tube row,Trimmed participant-result table; drops QA scaffolding and blank PII columns.
ABRM,ABRM_APS_deID_PUB.xlsx,APS Tubes,ABRM_APS_tubes.csv,tube,tube_id,tube_id,one row per tube,Canonical tube table (Appivo tubes); pool level + timing + results + corrections.
ABRM,ABRM_APS_deID_PUB.xlsx,APS Tubes by Date,ABRM_APS_daily-tubes-rollup.csv,daily_rollup,collect_date,collect_date,one row per collection date,Exports only leftmost A-I rollup table; headers normalized to remove embedded totals.
ABRM,ABRM_RFR_deID_PUB.xlsx,ALL Tube Results,ABRM_RFR_all-tube-results.csv,tube,tube_id,tube_id;final_assigned_run_id,one row per tube,Run linkage + includes ARF tubes (not in Appivo).
ABRM,ABRM_RFR_deID_PUB.xlsx,Weekly,ABRM_RFR_weekly-summary.csv,weekly_rollup,,week_start_date;week_end_date,one row per week,Canonical RFR weekly rollup (when present); stable headers; drops Unnamed columns.
ABRM,ABRM_RTR_deID_PUB.xlsx,Referral Test Data,ABRM_RTR_referral-tests.csv,referral,referral_test_id,participant_id;case_cluster_id;init_fl_pos_tube_id,one row per referral test,Trimmed referral test rows; drops PII columns and internal matching helper columns.
ABRM,ABRM_RTR_deID_PUB.xlsx,Referral Tests by Person,ABRM_RTR_referral-tests-by-person.csv,referral,participant_id,participant_id,one row per participant,Per-person referral summary; drops PII and internal matching helper columns.
